,excess_portfolio_return
1998-08-03,-0.0085039863776424
1998-08-04,-0.012970754502960799
1998-08-05,0.0034899325117414997
1998-08-06,0.0021604276197058
1998-08-07,-0.0055894597556798
1998-08-10,-0.0020288605883299
1998-08-11,-0.0139969815597414
1998-08-12,0.0057052195723959
1998-08-13,-0.0036781871061631003
1998-08-14,-0.005124116987841799
1998-08-17,0.0072792315859106
1998-08-18,0.006837170165092
1998-08-19,-0.0039192201601973
1998-08-20,-0.0017749535274065999
1998-08-21,-0.0056125454215644995
1998-08-24,0.0006957599232407999
1998-08-25,-0.0024705066272860694
1998-08-26,-0.0066212416021799005
1998-08-27,-0.024911865237746397
1998-08-28,-0.0147267141388577
1998-08-31,-0.02630270260862
1998-09-01,0.0205583538422443
1998-09-02,0.0023006039190292997
1998-09-03,-0.0014269517311187
1998-09-04,-0.004098738755380227
1998-09-08,0.0195312888833251
1998-09-09,-0.008065302424885701
1998-09-10,-0.0073723364979766
1998-09-11,0.016055322440471198
1998-09-14,0.0055300298417613
1998-09-15,0.0047939902865452005
1998-09-16,0.0035749131195327
1998-09-17,-0.007984903792556
1998-09-18,-0.0014077758430151
1998-09-21,-0.0034756154201554
1998-09-22,0.0016288186853836999
1998-09-23,0.023162576298530798
1998-09-24,-0.0072005821666395005
1998-09-25,0.0009392556176929
1998-09-28,0.006157957830541599
1998-09-29,-0.0005383354214009
1998-09-30,-0.010747843131468801
1998-10-01,-0.0132916824792936
1998-10-02,0.0081462762067252
1998-10-05,-0.0140500685587232
1998-10-06,-0.0031707587223215
1998-10-07,-0.0045567624120388
1998-10-08,-0.009550106282771401
1998-10-09,0.0064992101923045
1998-10-13,0.005557378456646799
1998-10-14,0.0015508611718390293
1998-10-15,0.024562466658883262
1998-10-16,0.0085676507707973
1998-10-19,0.00022657730085430002
1998-10-20,0.0044608584428143
1998-10-21,-0.0023341918377391
1998-10-22,0.0012637262744016001
1998-10-23,-0.0062891201626818
1998-10-26,0.0025294652433572053
1998-10-27,-0.004601081354164101
1998-10-28,0.0050361021655032
